Place,Label,Review
Schools,Positive,I had a chance to interact with the students and the staff at the Harlur Government School. Had a wonderful time.
Schools,Negative,School is not so good but better for low budget
Schools,Positive,I live near government school road harlur but it is nice school I ma proud of this school
Schools,Positive,Good surroundings
Schools,Positive,"The School is maintained well, definitely developing the capability of competing with private schools"
Schools,Positive,Nice school... Infrastructure is also good. Big ground for students...
Schools,Negative,Teachers use abusive words for students even they threaten them and maths teacher is most worst teacher of +2 he thinks that he is the principal of this school he wants to prove that he is supreme but he is worst and some ladies teacher are so bad their behaviour with students is unforgivable
Schools,Negative,Poor education system
Schools,Negative,Under ground school. No good facilities.
Schools,Negative,Worst management for BPSC AE 07/2020 exam... They are unable to stop talking during examination.
Schools,Positive,Good teacher good student with very low teacher pupil ratio.
Schools,Positive,Awesome Campus Good Nature & helpful staff members
Schools,Positive,Accessories does not matter only qualified teachers and well disciplined students make a school good and this is the best school.
Schools,Negative,"Worst quality of accessories like benches, boards and others"
Schools,Positive,The school is Situated in bhattwoulia.. Bestest school in the area
Schools,Negative,School is good and teachers is also good but something lack in this institution because this is famous government school. They should not allow any bathroom for+2 students. Where they go if not available. Lack of teacher in +2 .
Schools,Positive,"Very old and famous government school. Teachers are quite skilled and experienced, its building and campus are quite good. Playground is also very good."
Schools,Positive,"It is a healthy environment for the examination centre because there are a lot of trees, 🎄 here & small tea ☕ shops."
Schools,Positive,Recently visited Best Government School well maintained and have well behaved quality teachers.
Schools,Positive,"Amazing experience of my life. Teacher and friends and the school, Miss u and love you so much to every one 🕐"
Schools,Positive,"Cool place with lot of plants and trees Peaceful place to Chill Workoholic staff , students with a very poor background but still hard working - cent percent result in SSC"
Schools,Positive,Quiet famous and old educational institution of Mahbubnagar town.
Schools,Negative,Education quality must be improved so much
Schools,Positive,Nice atmosphere for students
Schools,Positive,"Nadakkav School boasts many commendable qualities, providing a positive and nurturing environment for its students. The faculty is dedicated, the curriculum is well-rounded, and the extracurricular activities are diverse and engaging. However, it is disappointing to note that the cleanliness of the school's toilets is subpar. This aspect requires immediate attention to ensure the overall well-being and comfort of the students. Addressing this issue will significantly enhance the school's reputation and create a more conducive learning environment."
Schools,Positive,"Excellent institution for girls' education! Dedicated staff, conducive learning environment, and strong focus on character development. Empowering future generations!"
Schools,Negative,Good school with infrastructure and all. But big disappointment in case of cleanliness and washroom facilities
Schools,Positive,Great infrastructure and facilities. Good teachers and faculty. Nice ambiance and a lot of memories! NADAKKAVU!
Schools,Positive,One of the best school in calicut.They have excellent staffs and high standard of education.
Schools,Positive,"The best school... Here the education is best, sports is also given importance . Since it is the school of a army person hence the physical health is also given priority"
Schools,Positive,"Top class teaching,low fees,3 buildings,daily assembly,full concentrated on every children,I'm in 10th I gonna miss my school,"
Schools,Negative,"No trip , No annual function , No send off , Not having own ground , Very small ground, No sports day, Bad condition of benches , Dirty classrooms"
Schools,Negative,"Staff and management didn't cooperate in proper way ,also no playground for childrens"
Schools,Negative,"Over crowded and small class room, state board curriculum"
Schools,Negative,I hate this school
Schools,Positive,Just an amazing place to have ur education ✨❤️
Schools,Positive,Exlent
Schools,Negative,Some of the teachers are really bad at teaching
Schools,Positive,Lovely and beautiful school of my time 1988- 1992. Still remember my days when Puranik Sir was principal followed by Bapat sir and my history teacher Bapat madam! Some of the best teachers I have studied my time. Will visit once almost now 3 decades!
Schools,Positive,Ohhsum place to play and study
